Papel,Nome,YahooTicker
EEEL3,CEEE,EEEL3.SA
EEEL4,CEEE,EEEL4.SA
EGIE3,ENGIE BRASIL,EGIE3.SA
EKTR3,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3.SA
EKTR4,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4.SA
ELCA3,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,ELCA3.SA
ELCA4,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,ELCA4.SA
ELEK3,ELEKEIROZ S/A,ELEK3.SA
ELEK4,ELEKEIROZ S/A,ELEK4.SA
ELET3,ELETROBRÁS,ELET3.SA
ELET5,ELETROBRÁS,ELET5.SA
ELET6,ELETROBRÁS,ELET6.SA
ELEV3,ELEVA,ELEV3.SA
ELMD3,ELETROMIDIA,ELMD3.SA
ELPL3,AES ELETROPAULO,ELPL3.SA
ELPL4,AES ELETROPAULO,ELPL4.SA
ELPL5,AES ELETROPAULO,ELPL5.SA
ELPL6,AES ELETROPAULO,ELPL6.SA
ELUM3,ELUMA,ELUM3.SA
ELUM4,ELUMA,ELUM4.SA
EMAE4,EMAE,EMAE4.SA
EMBR3,EMBRAER,EMBR3.SA
ENAT3,ENAUTA PART,ENAT3.SA
ENBR3,EDP ENERGIAS DO BRASIL S/A,ENBR3.SA
ENER3,ENERSUL,ENER3.SA
ENER5,ENERSUL,ENER5.SA
ENER6,ENERSUL,ENER6.SA
ENEV3,ENEVA,ENEV3.SA
ENGI11,ENERGISA,ENGI11.SA
ENGI3,ENERGISA,ENGI3.SA
ENGI4,ENERGISA,ENGI4.SA
ENJU3,ENJOEI,ENJU3.SA
ENMT3,ENERGISA MT,ENMT3.SA
ENMT4,ENERGISA MT,ENMT4.SA
EPAR3,EMBPAR S/A,EPAR3.SA
EPAR4,EMBPAR S/A,EPAR4.SA
EQMA3B,CEMAR,EQMA3B.SA
EQMA5B,CEMAR,EQMA5B.SA
EQMA6B,CEMAR,EQMA6B.SA
EQPA3,EQTL PARA,EQPA3.SA
EQPA5,EQTL PARA,EQPA5.SA
EQPA6,EQTL PARA,EQPA6.SA
EQPA7,EQTL PARA,EQPA7.SA
EQTL3,EQUATORIAL ENERGIA S.A.,EQTL3.SA
ESCE3,ESCELSA,ESCE3.SA
ESPA3,ESPACOLASER,ESPA3.SA
ESTC11,YDUQS PART,ESTC11.SA
ESTC3,YDUQS PART,ESTC3.SA
ESTC4,YDUQS PART,ESTC4.SA
ESTR3,ESTRELA,ESTR3.SA
ESTR4,ESTRELA,ESTR4.SA
ETER3,ETERNIT,ETER3.SA
ETER4,ETERNIT,ETER4.SA
EUCA3,EUCATEX,EUCA3.SA
EUCA4,EUCATEX,EUCA4.SA
EVEN3,Even,EVEN3.SA
EZTC3,EZTec,EZTC3.SA
FBMC3,FIBAM,FBMC3.SA
FBMC4,FIBAM,FBMC4.SA
FBRA4,FERTIBRÁS S/A,FBRA4.SA
FCAP3,FICAP,FCAP3.SA
FCAP4,FICAP,FCAP4.SA
FESA3,FERBASA,FESA3.SA
FESA4,FERBASA,FESA4.SA
FFTL3,FOSFERTIL,FFTL3.SA
FFTL4,FOSFERTIL,FFTL4.SA
FGUI3,FERREIRA GUIMARAES,FGUI3.SA
FGUI4,FERREIRA GUIMARAES,FGUI4.SA
FHER3,Fer Heringer,FHER3.SA
FIBR3,Fibria,FIBR3.SA
FICT3,FICTORALIMEN,FICT3.SA
FIEI3,FICA,FIEI3.SA
FIGE3,INVESTIMENTOS BEMGE,FIGE3.SA
FIGE4,INVESTIMENTOS BEMGE,FIGE4.SA
FIQE3,UNIFIQUE,FIQE3.SA
FJTA3,TAURUS ARMAS,FJTA3.SA
FJTA4,TAURUS ARMAS,FJTA4.SA
FLCL3,CATAG LEOPOLDINA,FLCL3.SA
FLCL5,CATAG LEOPOLDINA,FLCL5.SA
FLCL6,CATAG LEOPOLDINA,FLCL6.SA
FLRY3,FLEURY,FLRY3.SA
FNCN3,DMFINANCEIRA,FNCN3.SA
FRAS3,FRAS-LE S.A.,FRAS3.SA
FRAS4,FRAS-LE S.A.,FRAS4.SA
FRIO3,Metalfrio,FRIO3.SA
FRTA3,POMIFRUTAS,FRTA3.SA
FTRX3,FAB TECIDOS C RENAUX,FTRX3.SA
FTRX4,FAB TECIDOS C RENAUX,FTRX4.SA
GAFP3,CIMOB,GAFP3.SA
GAFP4,CIMOB,GAFP4.SA
GALO3,EMEEGE ESCAPAMENTOS,GALO3.SA
GALO4,EMEEGE ESCAPAMENTOS,GALO4.SA
GAZO3,GAZOLA SA INDÚSTRIA METALURGICA,GAZO3.SA
GAZO4,GAZOLA SA INDÚSTRIA METALURGICA,GAZO4.SA
GBIO33,BIOTOSCANA,GBIO33.SA
GEPA3,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3.SA
